movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0120461,90000000,49323468,73500000
tt0120483,20000000,13717039,0
tt0120484,23000000,161491646,24500000
tt0120490,9000000,334319,0
tt0120510,6000000,282175,0
tt0120586,20000000,6719864,17155263
tt0120587,105000000,90757863,81000000
tt0120591,140000000,201578182,352131606
tt0120595,90000000,18319860,50812000
tt0120596,51000000,21760240,15151377
tt0120601,13000000,22863596,243071
tt0120603,80000000,22852487,0
tt0120616,80000000,155385488,260547918
tt0120618,12000000,178278,0
tt0120620,25000000,10115013,0
tt0120623,120000000,162798565,200460294
tt0120630,45000000,106834564,118000000
tt0120631,26000000,65705771,32299895
tt0120633,75000000,56709981,0
tt0120646,38000000,13898649,14222451
tt0120655,10000000,30652890,776440
tt0120657,160000000,32698899,29000000
tt0120660,90000000,111549836,139299953
tt0120662,35000000,16500786,1088919
tt0120663,65000000,55691208,106547450
tt0120667,100000000,154696080,178839854
tt0120669,18500000,10680275,0
tt0120670,19000000,8165212,0
tt0120679,12000000,25885000,30413474
tt0120681,35000000,31602566,42955549
tt0120683,30000000,4197729,0
tt0120684,10000000,6451628,0
tt0120685,130000000,136314294,242700000
tt0120686,50000000,91137662,68573131
tt0120689,60000000,136801374,150000000
tt0120694,17000000,55041738,0
tt0120696,70000000,19870567,0
tt0120701,60000000,12069719,0
tt0120703,20000000,37672941,1605781
tt0120710,30000000,12017369,0
tt0120716,45000000,4956401,0
tt0120722,20000000,12905901,2704398
tt0120737,93000000,315544750,572288076
tt0120738,80000000,69117629,67041794
tt0120741,10000000,19889299,0
tt0120746,95000000,94095523,156193000
tt0120751,90000000,50632037,0
tt0120755,125000000,215409889,330978219
tt0120757,50000000,13263993,0
tt0120764,65000000,36850101,0
tt0120784,90000000,81526121,80100000
tt0120789,60000000,40584421,9221041
tt0120791,75000000,46732881,0
tt0120794,70000000,101413188,117200000
tt0120797,33000000,8408835,0
tt0120802,18000000,10019109,0
tt0120804,33000000,40119709,62865153
tt0120812,33000000,141186864,103534200
tt0120813,1000000,45724,0
tt0120815,70000000,217049603,265300000
